,index,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,predict,index,predict,no,yes
0,33003,28,admin.,single,secondary,no,242,yes,yes,cellular,12,may,256,1,349,1,failure,,0,no,0.9736407379684672,0.026359262031532688
1,12172,43,technician,married,secondary,no,-754,yes,yes,cellular,9,jul,727,3,-1,0,unknown,,1,yes,0.5955617637254902,0.40443823627450975
2,5192,39,management,married,tertiary,no,-606,yes,no,unknown,26,may,142,1,-1,0,unknown,,2,no,0.9757611209584462,0.02423887904155375
3,32511,49,blue-collar,married,primary,no,3652,yes,yes,cellular,11,may,568,1,285,2,other,,3,no,0.8718889656619913,0.12811103433800874
4,7813,58,management,divorced,tertiary,no,50,yes,no,unknown,3,jun,109,4,-1,0,unknown,,4,no,0.9755156250088084,0.02448437499119169
5,21440,37,management,married,tertiary,no,4293,yes,no,cellular,29,aug,150,2,-1,0,unknown,,5,no,0.9727309802077688,0.027269019792231092
6,32912,36,management,single,tertiary,no,687,yes,no,cellular,12,may,43,1,347,2,failure,,6,no,0.9757541241569412,0.024245875843058918
7,20609,31,technician,married,secondary,no,518,yes,no,cellular,25,aug,348,2,-1,0,unknown,,7,no,0.9629439851548112,0.037056014845188716
8,7751,49,self-employed,married,secondary,no,0,yes,no,unknown,3,jun,51,9,-1,0,unknown,,8,no,0.975806151721678,0.024193848278322026
9,31228,41,blue-collar,married,primary,no,-7,yes,no,cellular,6,may,104,2,365,2,failure,,9,no,0.9757045844748746,0.024295415525125385
10,36230,54,management,single,tertiary,no,2081,no,no,cellular,15,jun,147,1,-1,0,unknown,,10,no,0.8196259947153013,0.1803740052846987
11,32025,35,blue-collar,married,secondary,no,1615,yes,no,cellular,7,may,1051,2,-1,0,unknown,,11,yes,0.7170717733506451,0.28292822664935496
12,21758,40,blue-collar,married,secondary,no,5060,no,no,unknown,9,nov,299,1,-1,0,unknown,,12,yes,0.4214983594778455,0.5785016405221545
13,35730,25,admin.,single,tertiary,no,760,yes,no,cellular,27,may,223,3,89,2,failure,,13,yes,0.3674428685407193,0.6325571314592807
14,8444,38,management,married,tertiary,no,881,no,yes,unknown,6,jun,79,2,-1,0,unknown,,14,no,0.9753808875729371,0.0246191124270631
15,19946,35,technician,single,tertiary,no,147,no,no,cellular,21,aug,134,2,-1,0,unknown,,15,no,0.9737347964802244,0.02626520351977572
16,37532,61,retired,married,secondary,no,2917,no,no,cellular,6,oct,215,1,-1,0,unknown,,16,yes,0.223320186537292,0.776679813462708
17,22926,36,management,single,tertiary,no,3343,no,no,cellular,18,nov,307,1,-1,0,unknown,,17,no,0.9496713626780804,0.050328637321919695
18,27204,33,management,single,tertiary,no,7114,yes,no,cellular,5,feb,271,2,233,3,other,,18,no,0.963044673510601,0.03695532648939904
19,31959,41,technician,divorced,secondary,no,348,yes,no,cellular,7,may,225,2,275,2,failure,,19,no,0.9738936710142692,0.0261063289857307
20,24535,40,management,married,secondary,no,752,no,yes,cellular,21,nov,456,1,157,1,failure,,20,no,0.938956527123434,0.061043472876566036
21,19433,46,blue-collar,married,primary,no,687,no,no,cellular,19,aug,125,13,-1,0,unknown,,21,no,0.9750834106113668,0.024916589388633156
